,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
160,4478547,13464265,Entire home/apt,Busan,Haeundae,44,4.5,4,1.0,1.0,45.0,1.0,35.164081,129.163902,2016-10-28 22:48:26.828164
161,4523672,21660947,Entire home/apt,Busan,Yeonje,49,4.5,2,1.0,1.0,20.0,1.0,35.170789,129.09778,2016-10-28 22:43:19.953980
162,4552812,23055239,Shared room,Busan,Dong,10,4.5,6,1.0,1.0,23.0,1.0,35.118291,129.042538,2016-10-29 00:23:21.310294
163,4608645,21758496,Entire home/apt,Busan,Suyeong,59,5.0,16,3.0,,23.0,1.0,35.154512,129.11895,2016-10-28 22:48:12.607581
164,4612128,11597332,Entire home/apt,Busan,Haeundae,91,5.0,6,0.0,1.0,54.0,,35.169763,129.174688,2016-10-28 23:03:07.941146
165,4632628,23166779,Shared room,Busan,Suyeong,4,4.5,16,1.0,0.0,19.0,1.0,35.158111,129.123203,2016-10-29 00:49:37.948323
166,4633691,23995592,Entire home/apt,Busan,Suyeong,2,,2,1.0,1.0,63.0,,35.158241,129.125667,2016-10-28 23:19:43.155009
167,4657505,12313543,Entire home/apt,Busan,Haeundae,36,5.0,2,0.0,1.0,81.0,1.0,35.160313,129.138133,2016-10-28 23:42:47.750412
168,4666303,23055239,Private room,Busan,Dong,1,,4,1.0,1.0,91.0,1.0,35.118758,129.041972,2016-10-29 00:34:20.413129
169,4681152,23166779,Entire home/apt,Busan,Suyeong,1,,16,6.0,3.0,541.0,1.0,35.15608,129.12321,2016-10-29 00:20:47.583821
170,4682513,16890827,Entire home/apt,Busan,Haeundae,24,5.0,5,1.0,1.0,77.0,1.0,35.164727,129.16849,2016-10-28 22:52:41.499350
171,4723430,22122877,Shared room,Busan,Suyeong,13,5.0,4,1.0,1.0,28.0,1.0,35.157318,129.118103,2016-10-28 22:48:43.307406
172,4753809,17277470,Entire home/apt,Busan,Haeundae,6,4.5,4,1.0,1.0,44.0,2.0,35.15711,129.147034,2016-10-28 23:42:41.497752
